iri,as_subject,as_object,subject_pattern,object_pattern
https://identifiers.org/chebi/132273,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/17747,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D006486,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/27363,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/5015,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/42017,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/72564,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9150,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D010212,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/28001,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16605,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/90620,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/68508,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/25195,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28499,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/4042,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9682,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34892,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/5009,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/38604,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/27928,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/6801,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/27750,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/64090,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/7939,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/77898,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/39186,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/32110,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D014819,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/40823,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/2469,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28201,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/39260,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/C061375,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/9130,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D006965,1,3,go:0008150 -> dc:identifier -> go:0008150,aopo:KeyEvent -> go:0008150 -> go:0008150
https://identifiers.org/chebi/15930,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/49662,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/47807,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16330,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16793,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/79736,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/81786,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34719,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/63631,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/35559,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/8489,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/22977,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/83174,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/53555,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/134455,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28619,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/17594,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/7476,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34608,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/83197,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/76917,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D002137,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/17642,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28216,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/8309,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/87579,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/53243,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/5011,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28925,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/45979,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34631,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/38211,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/8502,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16856,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/44445,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/59063,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/15343,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9753,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34696,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D014178,1,3,go:0008150 -> dc:identifier -> go:0008150,aopo:KeyEvent -> go:0008150 -> go:0008150
https://identifiers.org/chebi/81938,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/22907,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/5613,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34785,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/83999,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/7822,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/3181,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/49936,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/2948,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/47217,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/183515,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/35018,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D005298,4,12,pato:0001241 -> dc:identifier -> pato:0001241,aopo:BiologicalEvent -> aopo:hasObject -> go:0008150
https://identifiers.org/chebi/94355,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D018196,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/29035,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/2038,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/34594,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/5063,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/95129,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/92076,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D008107,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/34873,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9495,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/50867,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/50131,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/31638,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/50743,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/76200,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/36386,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/17967,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/63625,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/6923,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D001943,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/34693,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/53227,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/23359,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/38451,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/41879,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28073,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/39243,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D000236,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/63718,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/143729,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/38449,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D001919,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/88214,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/81978,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
