prefix,iri,as_subject,as_object,subject_pattern,object_pattern
ensembl,https://identifiers.org/ensembl/ENSG00000164867,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000115008,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000123384,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000059915,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000138755,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000105656,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000124523,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000175197,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000104081,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000118903,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000244731,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000187546,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000139697,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000160299,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000112116,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000188566,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000095002,0,2,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000115705,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000120659,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000044524,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000105143,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000169021,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000110330,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000102393,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000136634,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000112149,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000168505,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000186350,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000184470,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000125538,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000132906,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000140465,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000196588,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000172724,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000140443,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000123561,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000108702,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000168496,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000091140,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000165841,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000204308,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000161011,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000105810,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000104432,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
