subject_class,subject_uri,property,property_uri,object_class,object_uri
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/charge,http://purl.obolibrary.org/obo/chebi/charge,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedTarget,http://www.w3.org/2002/07/owl#annotatedTarget,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
sio:011120,http://semanticscience.org/resource/SIO_011120,is-attribute-of,http://semanticscience.org/resource/is-attribute-of,owl:Class,http://www.w3.org/2002/07/owl#Class
sio:011120,http://semanticscience.org/resource/SIO_011120,is-attribute-of,http://semanticscience.org/resource/is-attribute-of,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,iao:0000115,http://purl.obolibrary.org/obo/IAO_0000115,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,owl:deprecated,http://www.w3.org/2002/07/owl#deprecated,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,oboinowl:source,http://www.geneontology.org/formats/oboInOwl#source,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class
owl:Class,http://www.w3.org/2002/07/owl#Class,iao:0000231,http://purl.obolibrary.org/obo/IAO_0000231,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/inchikey,http://purl.obolibrary.org/obo/chebi/inchikey,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class
owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/inchi,http://purl.obolibrary.org/obo/chebi/inchi,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/mass,http://purl.obolibrary.org/obo/chebi/mass,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
