shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000192,chebi:24913,http://purl.obolibrary.org/obo/CHEBI_24913,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1,1.0,1,1.0,100.0,chebi:24913 -> sio:000008 -> cheminf:000018,
shape_000193,chebi:24921,http://purl.obolibrary.org/obo/CHEBI_24921,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,288,288.0,288,1.0,100.0,chebi:24921 -> sio:000008 -> cheminf:000018,
shape_000194,chebi:24922,http://purl.obolibrary.org/obo/CHEBI_24922,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1798,1798.0,1798,1.0,100.0,chebi:24922 -> sio:000008 -> cheminf:000018,
shape_000195,chebi:24983,http://purl.obolibrary.org/obo/CHEBI_24983,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,37,37.0,37,1.0,100.0,chebi:24983 -> sio:000008 -> cheminf:000018,
shape_000196,chebi:24995,http://purl.obolibrary.org/obo/CHEBI_24995,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,706,706.0,706,1.0,100.0,chebi:24995 -> sio:000008 -> cheminf:000018,
shape_000197,chebi:25000,http://purl.obolibrary.org/obo/CHEBI_25000,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,616,616.0,616,1.0,100.0,chebi:25000 -> sio:000008 -> cheminf:000018,
shape_000198,chebi:25029,http://purl.obolibrary.org/obo/CHEBI_25029,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,109,109.0,109,1.0,100.0,chebi:25029 -> sio:000008 -> cheminf:000018,
shape_000184,chebi:24829,http://purl.obolibrary.org/obo/CHEBI_24829,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,31,31.0,31,1.0,100.0,chebi:24829 -> sio:000008 -> cheminf:000018,
shape_000185,chebi:24836,http://purl.obolibrary.org/obo/CHEBI_24836,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,70,70.0,70,1.0,100.0,chebi:24836 -> sio:000008 -> cheminf:000018,
shape_000186,chebi:24839,http://purl.obolibrary.org/obo/CHEBI_24839,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1,1.0,1,1.0,100.0,chebi:24839 -> sio:000008 -> cheminf:000018,
shape_000187,chebi:24840,http://purl.obolibrary.org/obo/CHEBI_24840,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,2,2.0,2,1.0,100.0,chebi:24840 -> sio:000008 -> cheminf:000018,
shape_000188,chebi:24846,http://purl.obolibrary.org/obo/CHEBI_24846,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,9349,9349.0,9349,1.0,100.0,chebi:24846 -> sio:000008 -> cheminf:000018,
